titre|annee|duree|genre|tomatometer|audience_score|url_tomatoes
Mad Max: Fury Road|2015|120|Action, Adventure, Sci-Fi|97|86|https://www.rottentomatoes.com/m/mad_max_fury_road
Warrior|2011|140|Action, Drama, Sport|83|92|https://www.rottentomatoes.com/m/1212910-warrior
Gran Torino|2008|116|Drama|81|90|https://www.rottentomatoes.com/m/gran_torino
Harry Potter and the Deathly Hallows: Part 2|2011|130|Adventure, Fantasy, Mystery|96|89|https://www.rottentomatoes.com/m/harry_potter_and_the_deathly_hallows_part_2_2011
Hachi: A Dog's Tale|2009|93|Biography, Drama, Family|64|84|https://www.rottentomatoes.com/m/hachi_a_dogs_tale
Mary and Max|2009|92|Animation, Comedy, Drama|95|92|https://www.rottentomatoes.com/m/1209767-mary_and_max
How to Train Your Dragon|2010|98|Animation, Action, Adventure|99|91|https://www.rottentomatoes.com/m/how_to_train_your_dragon
Into the Wild|2007|148|Adventure, Biography, Drama|83|89|https://www.rottentomatoes.com/m/into_the_wild
No Country for Old Men|2007|122|Crime, Drama, Thriller|93|86|https://www.rottentomatoes.com/m/no_country_for_old_men
V for Vendetta|2005|132|Action, Drama, Sci-Fi|||
Million Dollar Baby|2004|132|Drama, Sport|90|90|https://www.rottentomatoes.com/m/million_dollar_baby
Hotel Rwanda|2004|121|Biography, Drama, History|91|94|https://www.rottentomatoes.com/m/hotel_rwanda
Before Sunset|2004|80|Drama, Romance|94|92|https://www.rottentomatoes.com/m/before_sunset
Memories of Murder|2003|132|Crime, Drama, Mystery|95|94|https://www.rottentomatoes.com/m/memories_of_murder_2003
Kill Bill: Vol. 1|2003|111|Action, Crime, Drama|85|81|https://www.rottentomatoes.com/m/kill_bill_vol_1
Finding Nemo|2003|100|Animation, Adventure, Comedy|99|86|https://www.rottentomatoes.com/m/finding_nemo
Catch Me If You Can|2002|141|Biography, Crime, Drama|96|89|https://www.rottentomatoes.com/m/catch_me_if_you_can
Love's a Bitch|2000|154|Drama, Thriller|93|94|https://www.rottentomatoes.com/m/amores_perros
Monsters, Inc.|2001|92|Animation, Adventure, Comedy|96|90|https://www.rottentomatoes.com/m/monsters_inc
Neon Genesis Evangelion: The End of Evangelion|1997|87|Animation, Action, Drama|88|85|https://www.rottentomatoes.com/m/neon_genesis_evangelion_the_end_of_evangelion
The Sixth Sense|1999|107|Drama, Mystery, Thriller|86|90|https://www.rottentomatoes.com/m/sixth_sense
The Truman Show|1998|103|Comedy, Drama|95|89|https://www.rottentomatoes.com/m/truman_show
The Big Lebowski|1998|117|Comedy, Crime, Sport|83|93|https://www.rottentomatoes.com/m/the_big_lebowski
In the Mood for Love|2000|98|Drama, Romance|91|94|https://www.rottentomatoes.com/m/in_the_mood_for_love_2001
Trainspotting|1996|93|Drama|91|93|https://www.rottentomatoes.com/m/trainspotting
Fargo|1996|98|Crime, Drama, Thriller|94|93|https://www.rottentomatoes.com/m/fargo
La Haine|1995|98|Crime, Drama|100|95|https://www.rottentomatoes.com/m/la_haine
Before Sunrise|1995|101|Drama, Romance|100|93|https://www.rottentomatoes.com/m/before_sunrise
Three Colors: Red|1994|99|Drama, Mystery, Romance|100|94|https://www.rottentomatoes.com/m/1058966-red
Jurassic Park|1993|127|Action, Adventure, Sci-Fi|92|91|https://www.rottentomatoes.com/m/jurassic_park
In the Name of the Father|1993|133|Biography, Crime, Drama|94|95|https://www.rottentomatoes.com/m/in_the_name_of_the_father
Dead Poets Society|1989|128|Comedy, Drama|85|92|https://www.rottentomatoes.com/m/dead_poets_society
The Princess Bride|1987|98|Adventure, Family, Fantasy|98|94|https://www.rottentomatoes.com/m/princess_bride
Stand by Me|1986|89|Adventure, Drama|91|94|https://www.rottentomatoes.com/m/stand_by_me_1986
Platoon|1986|120|Drama, War|87|93|https://www.rottentomatoes.com/m/platoon
Paris, Texas|1984|145|Drama|94|93|https://www.rottentomatoes.com/m/paris_texas
Nausicaä of the Valley of the Wind|1984|117|Animation, Adventure, Fantasy|89|74|https://www.rottentomatoes.com/m/nausicaa_of_the_valley_of_the_wind
The Thing|1982|109|Horror, Mystery, Sci-Fi|86|92|https://www.rottentomatoes.com/m/1021244-thing
Fanny and Alexander|1982|188|Drama|100|94|https://www.rottentomatoes.com/m/fanny_and_alexander
Blade Runner|1982|117|Action, Sci-Fi, Thriller|90|91|https://www.rottentomatoes.com/m/blade_runner
The Elephant Man|1980|124|Biography, Drama|92|93|https://www.rottentomatoes.com/m/1006527-elephant_man
Stalker|1979|162|Drama, Sci-Fi|100|93|https://www.rottentomatoes.com/m/1043378-stalker
Monty Python's Life of Brian|1979|94|Comedy|95|93|https://www.rottentomatoes.com/m/monty_pythons_life_of_brian
The Deer Hunter|1978|183|Drama, War|92|92|https://www.rottentomatoes.com/m/the_deer_hunter
Rocky|1976|120|Drama, Sport|93|69|https://www.rottentomatoes.com/m/1017776-rocky
Network|1976|121|Drama|92|93|https://www.rottentomatoes.com/m/network
Barry Lyndon|1975|185|Adventure, Drama, History|91|92|https://www.rottentomatoes.com/m/barry_lyndon
Cool Hand Luke|1967|127|Crime, Drama|100|95|https://www.rottentomatoes.com/m/cool_hand_luke
Persona|1966|83|Drama, Thriller|91|94|https://www.rottentomatoes.com/m/persona
Andrei Rublev|1966|205|Biography, Drama, History|||
The Battle of Algiers|1966|121|Drama, War|99|95|https://www.rottentomatoes.com/m/the_battle_of_algiers
The Man Who Shot Liberty Valance|1962|123|Drama, Western|94|92|https://www.rottentomatoes.com/m/man_who_shot_liberty_valance
The 400 Blows|1959|99|Crime, Drama|98|94|https://www.rottentomatoes.com/m/400_blows
Ben-Hur|1959|212|Adventure, Drama, History|86|89|https://www.rottentomatoes.com/m/benhur
Nights of Cabiria|1957|110|Drama|100|94|https://www.rottentomatoes.com/m/nights_of_cabiria
The Bridge on the River Kwai|1957|161|Adventure, Drama, War|95|93|https://www.rottentomatoes.com/m/bridge_on_the_river_kwai
On the Waterfront|1954|108|Crime, Drama, Thriller|99|95|https://www.rottentomatoes.com/m/on_the_waterfront
The Wages of Fear|1953|156|Adventure, Drama, Thriller|100|95|https://www.rottentomatoes.com/m/wages_of_fear
The Third Man|1949|93|Film-Noir, Mystery, Thriller|99|93|https://www.rottentomatoes.com/m/the_third_man
Rebecca|1940|130|Drama, Mystery, Romance|100|92|https://www.rottentomatoes.com/m/1017293-rebecca
Mr. Smith Goes to Washington|1939|129|Comedy, Drama|96|94|https://www.rottentomatoes.com/m/mr_smith_goes_to_washington
Gone with the Wind|1939|238|Drama, History, Romance|90|92|https://www.rottentomatoes.com/m/gone_with_the_wind
It Happened One Night|1934|105|Comedy, Romance|99|93|https://www.rottentomatoes.com/m/it_happened_one_night
The Passion of Joan of Arc|1928|114|Biography, Drama, History|98|93|https://www.rottentomatoes.com/m/passion_of_joan_of_arc
The General|1926|67|Action, Adventure, Comedy|92|92|https://www.rottentomatoes.com/m/1008166-general
